54	2020-12-08 02:31:55.522687+05:30	2	Ikigai: The Japanese secret to long and happy life	2	[{"changed": {"fields": ["Count"]}}]	3	1
55	2020-12-08 02:32:01.32135+05:30	1	Sapiens	2	[{"changed": {"fields": ["Count"]}}]	3	1
56	2020-12-08 02:32:32.562258+05:30	5	espatatis's Cart	2	[{"changed": {"fields": ["Books", "Count"]}}]	11	1
57	2020-12-08 02:32:44.996014+05:30	5	espatatis's Cart	2	[{"changed": {"fields": ["Books", "Count"]}}]	11	1
58	2020-12-08 02:33:39.929575+05:30	5	espatatis's Cart	2	[]	11	1
59	2020-12-08 02:33:45.836183+05:30	5	espatatis's Cart	2	[{"changed": {"fields": ["Books"]}}]	11	1
60	2020-12-08 02:34:14.834293+05:30	4	rohan's Cart	2	[{"changed": {"fields": ["Books", "Count"]}}]	11	1
61	2020-12-08 02:35:13.810431+05:30	4	Napoleon Hill	1	[{"added": {}}]	1	1
62	2020-12-08 02:35:54.011174+05:30	3	Think and Grow Rich	1	[{"added": {}}]	3	1
63	2020-12-08 02:37:42.679406+05:30	3	Think and Grow Rich	2	[{"changed": {"fields": ["Image"]}}]	3	1
64	2020-12-08 02:38:46.868896+05:30	5	S Jaishankar	1	[{"added": {}}]	1	1
65	2020-12-08 02:39:13.987645+05:30	2	Harper Collins	1	[{"added": {}}]	2	1
66	2020-12-08 02:40:52.854749+05:30	4	The India Way	1	[{"added": {}}]	3	1
67	2020-12-08 11:29:18.962516+05:30	1	3 number of Sapiens book available 	1	[{"added": {}}]	12	1
68	2020-12-08 11:31:02.726711+05:30	10	rohan	3		7	1
69	2020-12-08 11:40:47.255745+05:30	11	rohan	3		7	1
70	2020-12-08 11:42:34.785722+05:30	2	2 number of The India Way book available 	1	[{"added": {}}]	12	1
71	2020-12-08 12:11:06.750927+05:30	1	Napoleon Hill	1	[{"added": {}}]	1	1
72	2020-12-08 12:11:16.127831+05:30	2	S Jaishankar	1	[{"added": {}}]	1	1
73	2020-12-08 12:11:21.654166+05:30	3	Yuval Noah Harari	1	[{"added": {}}]	1	1
74	2020-12-08 12:11:27.091405+05:30	4	Hector Gracia	1	[{"added": {}}]	1	1
75	2020-12-08 12:12:20.638446+05:30	5	Francesc Miralles	1	[{"added": {}}]	1	1
76	2020-12-08 12:12:40.613423+05:30	1	Penguin	1	[{"added": {}}]	2	1
77	2020-12-08 12:12:44.566262+05:30	2	Harper Collins	1	[{"added": {}}]	2	1
78	2020-12-08 12:13:42.025158+05:30	1	Think and Grow Rich	1	[{"added": {}}]	3	1
79	2020-12-08 12:14:10.595843+05:30	2	The India Way	1	[{"added": {}}]	3	1
80	2020-12-08 12:14:40.443969+05:30	3	Sapiens	1	[{"added": {}}]	3	1
81	2020-12-08 12:15:38.830956+05:30	4	Ikigai: The Japanese secret to a long and happy life	1	[{"added": {}}]	3	1
82	2020-12-08 12:16:04.616287+05:30	1	espatatis's Cart	1	[{"added": {}}]	11	1
83	2020-12-08 12:16:14.662531+05:30	2	rohan's Cart	1	[{"added": {}}]	11	1
84	2020-12-26 19:25:15.285432+05:30	1	21 number of Think and Grow Rich book available in cart espatatis's Cart	3		12	1
85	2020-12-26 20:23:01.486509+05:30	8	4 number of The India Way book available in cart rohan's Cart	3		12	1
86	2020-12-26 20:23:01.533835+05:30	7	8 number of Think and Grow Rich book available in cart espatatis's Cart	3		12	1
87	2020-12-26 20:23:01.55914+05:30	6	3 number of Think and Grow Rich book available in cart rohan's Cart	3		12	1
88	2020-12-26 20:23:01.583527+05:30	4	7 number of Ikigai: The Japanese secret to a long and happy life book available in cart espatatis's Cart	3		12	1
89	2020-12-26 20:23:01.619219+05:30	3	10 number of Sapiens book available in cart espatatis's Cart	3		12	1
90	2020-12-26 20:23:01.6435+05:30	2	11 number of The India Way book available in cart espatatis's Cart	3		12	1
91	2020-12-26 20:23:08.250401+05:30	1	espatatis's Cart	2	[{"changed": {"fields": ["Total"]}}]	11	1
92	2021-03-03 20:20:43.152445+05:30	13	testuser1	3		7	1
\.


